base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
bukfencezik	bukfencezek	bukfencezem	27	8	1.1349799328389845	zik	3	corpus	3043	8570080167	bukfencezik
burkolódzik	burkolódzok	burkolódzom	1	21	-2.3978952727983707	zik	3	corpus	13652	8570080167	burkolódzik
butáskodik	butáskodok	butáskodom	1	5	-1.0986122886681098	NA	3	corpus	585	8570080167	butáškodik
buzgólkodik	buzgólkodok	buzgólkodom	1	43	-3.0910424533583156	NA	3	corpus	2888	8570080167	buzgólkodik
bábáskodik	bábáskodok	bábáskodom	12	32	-0.9315582040049436	NA	3	corpus	5536	8570080167	bábáškodik
bámészkodik	bámészkodok	bámészkodom	110	134	-0.19574457712609536	NA	3	corpus	6070	8570080167	báméskodik
bánkódik	bánkódok	bánkódom	143	467	-1.1786549963416462	NA	2	corpus	14891	8570080167	bánkódik
bántódik	bántódok	bántódom	10	7	0.3184537311185346	NA	2	corpus	1216	8570080167	bántódik
bátorkodik	bátorkodok	bátorkodom	131	1686	-2.5479051599595977	NA	3	corpus	9746	8570080167	bátorkodik
bátorodik	bátorodok	bátorodom	5	16	-1.041453874828161	NA	3	corpus	1398	8570080167	bátorodik
bátortalanodik	bátortalanodok	bátortalanodom	11	1	1.791759469228055	NA	5	corpus	479	8570080167	bátortalanodik
békétlenkedik	békétlenkedek	békétlenkedem	4	2	0.5108256237659907	NA	4	corpus	301	8570080167	békétlenkedik
bíbelődik	bíbelődök	bíbelődöm	210	239	-0.12878078986592484	NA	3	corpus	14471	8570080167	bíbelődik
bíráskodik	bíráskodok	bíráskodom	8	40	-1.5163474893680884	NA	3	corpus	3616	8570080167	bíráškodik
bízik	bízok	bízom	14694	139717	-2.252118805622328	zik	1	corpus	1037991	8570080167	bízik
bóklászik	bóklászok	bóklászom	207	195	0.0594234204708008	szik	2	corpus	13080	8570080167	bóklásik
böjzik	böjzök	böjzöm	14	12	0.14310084364067324	-zik	1	nonword	NA	NA	böjzik
bölcselkedik	bölcselkedek	bölcselkedem	15	29	-0.6286086594223742	NA	3	corpus	1698	8570080167	bölčelkedik
bölszik	bölszök	bölszöm	16	11	0.3483066942682158	-szik	1	nonword	NA	NA	bölsik
böngészik	böngészök	böngészöm	1	4	-0.916290731874155	szik	2	corpus	122712	8570080167	böngésik
búcsúzik	búcsúzok	búcsúzom	402	2888	-1.9697291385195523	zik	2	corpus	154036	8570080167	búčúzik
búcsúzkodik	búcsúzkodok	búcsúzkodom	15	105	-1.890850371872286	NA	3	corpus	3282	8570080167	búčúzkodik
bújócskázik	bújócskázok	bújócskázom	24	13	0.5798184952529422	zik	3	corpus	3783	8570080167	bújóčkázik
búslakodik	búslakodok	búslakodom	31	70	-0.7969439742415888	NA	3	corpus	8087	8570080167	búšlakodik
búvárkodik	búvárkodok	búvárkodom	51	96	-0.6234672599219555	NA	3	corpus	10030	8570080167	búvárkodik
büdösödik	büdösödök	büdösödöm	4	2	0.5108256237659907	NA	3	corpus	1381	8570080167	büdöšödik
büglik	büglök	büglöm	19	7	0.9162907318741552	-lik	1	nonword	NA	NA	büglik
büszkélkedik	büszkélkedek	büszkélkedem	66	122	-0.6074917359814515	NA	3	corpus	84413	8570080167	büskélkedik
bővelkedik	bővelkedek	bővelkedem	41	118	-1.041453874828161	NA	3	corpus	38446	8570080167	bővelkedik
bűnhődik	bűnhődök	bűnhődöm	33	85	-0.9279867716373464	NA	2	corpus	9169	8570080167	bűnhődik
bűnözik	bűnözök	bűnözöm	1253	1	6.440946540632921	zik	2	corpus	6131	8570080167	bűnözik
bűtszik	bűtszök	bűtszöm	14	12	0.14310084364067324	-szik	1	nonword	NA	NA	bűtsik
bűvészkedik	bűvészkedek	bűvészkedem	49	34	0.3566749439387324	NA	3	corpus	3597	8570080167	bűvéskedik
cangázik	cangázok	cangázom	26	6	1.349926716949016	zik	2	corpus	163	8570080167	cangázik
cicózik	cicózok	cicózom	12	3	1.1786549963416462	zik	2	corpus	1046	8570080167	cicózik
cigarettázik	cigarettázok	cigarettázom	54	136	-0.912647740595654	zik	4	corpus	7767	8570080167	cigarettázik
cigánykodik	cigánykodok	cigánykodom	5	6	-0.15415067982725836	NA	3	corpus	325	8570080167	cigáṉkodik
cikkezik	cikkezek	cikkezem	50	8	1.7346010553881064	zik	2	corpus	14162	8570080167	cikkezik
cipekedik	cipekedek	cipekedem	109	23	1.5224265354444706	NA	3	corpus	4233	8570080167	cipekedik
cipekszik	cipekszek	cipekszem	3	4	-0.2231435513142097	szik	2	corpus	4233	8570080167	cipeksik
citerázik	citerázok	citerázom	12	13	-0.07410797215372185	zik	3	corpus	1464	8570080167	citerázik
civódik	civódok	civódom	4	4	0	NA	2	corpus	735	8570080167	civódik
csalatkozik	csalatkozok	csalatkozom	7	122	-2.7327428136925813	zik	3	corpus	4769	8570080167	čalatkozik
csalódik	csalódok	csalódom	1342	923	0.37394912488155346	NA	2	corpus	170163	8570080167	čalódik
csapódik	csapódok	csapódom	141	80	0.561377902928822	NA	2	corpus	59286	8570080167	čapódik
csatlakozik	csatlakozok	csatlakozom	1779	3253	-0.6032716444928523	zik	3	corpus	869608	8570080167	čatlakozik
csavarodik	csavarodok	csavarodom	33	11	1.0414538748281612	NA	3	corpus	9265	8570080167	čavarodik
