lemma	predicted_p	base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	out	alpha	sigma
drubódzik	0.4159404177886738	drubódzik	drubódzok	drubódzom	10	16	-0.4353180712578455	-zik	2	nonword	NA	NA	0.39285714285714285	1	20
drügzik	0.40565387051226753	drügzik	drügzök	drügzöm	14	13	0.06899287148695142	-zik	1	nonword	NA	NA	0.5172413793103449	1	20
düjzik	0.4449773127135216	düjzik	düjzök	düjzöm	13	13	0	-zik	1	nonword	NA	NA	0.5	1	20
femlik	0.5684176003337902	femlik	femlek	femlem	25	4	1.6486586255873816	-lik	1	nonword	NA	NA	0.8387096774193549	1	20
fetéṉlik	0.5209270911242092	feténylik	feténylek	feténylem	23	4	1.5686159179138452	-lik	2	nonword	NA	NA	0.8275862068965518	1	20
fibamlik	0.4893072529998937	fibamlik	fibamlok	fibamlom	26	3	1.9095425048844383	-lik	2	nonword	NA	NA	0.8709677419354839	1	20
figlik	0.49502475820883163	figlik	figlok	figlom	20	9	0.7419373447293773	-lik	1	nonword	NA	NA	0.6774193548387096	1	20
filágzik	0.46086931149530674	filágzik	filágzok	filágzom	7	20	-0.9650808960435872	-zik	2	nonword	NA	NA	0.2758620689655172	1	20
fivéṉlik	0.5517664902935788	fivénylik	fivénylek	fivénylem	20	9	0.7419373447293773	-lik	2	nonword	NA	NA	0.6774193548387096	1	20
flagárzik	0.48186240902160726	flagárzik	flagárzok	flagárzom	12	15	-0.2076393647782445	-zik	2	nonword	NA	NA	0.4482758620689655	1	20
flagáṉlik	0.47161557908679147	flagánylik	flagánylok	flagánylom	22	7	1.0560526742493137	-lik	2	nonword	NA	NA	0.7419354838709677	1	20
flehéksik	0.41162930044552765	flehékszik	flehékszek	flehékszem	10	19	-0.5978370007556204	-szik	2	nonword	NA	NA	0.3548387096774193	1	20
flehéṉlik	0.5189017810512869	flehénylik	flehénylek	flehénylem	23	4	1.5686159179138452	-lik	2	nonword	NA	NA	0.8275862068965518	1	20
flibeksik	0.400289136183799	flibekszik	flibekszek	flibekszem	11	18	-0.4595323293784402	-szik	2	nonword	NA	NA	0.3870967741935484	1	20
fligzik	0.45893767056420154	fligzik	fligzok	fligzom	10	19	-0.5978370007556204	-zik	1	nonword	NA	NA	0.3548387096774193	1	20
fliraklik	0.45707665427443867	fliraklik	fliraklok	fliraklom	13	13	0	-lik	2	nonword	NA	NA	0.5	1	20
flitlik	0.4583836915854694	flitlik	flitlok	flitlom	25	4	1.6486586255873816	-lik	1	nonword	NA	NA	0.8387096774193549	1	20
floglik	0.46275796445258244	floglik	floglok	floglom	18	11	0.4595323293784402	-lik	1	nonword	NA	NA	0.6129032258064516	1	20
flátsik	0.3592997997227406	flátszik	flátszok	flátszom	11	18	-0.4595323293784402	-szik	1	nonword	NA	NA	0.3870967741935484	1	20
flérlik	0.4852147858657909	flérlik	flérlek	flérlem	23	4	1.5686159179138452	-lik	1	nonword	NA	NA	0.8275862068965518	1	20
flözlik	0.4282529919000436	flözlik	flözlök	flözlöm	20	7	0.965080896043587	-lik	1	nonword	NA	NA	0.7241379310344828	1	20
flüröšlik	0.46906671825957	flüröslik	flüröslök	flüröslöm	20	9	0.7419373447293773	-lik	2	nonword	NA	NA	0.6774193548387096	1	20
flűmlik	0.4922262014825328	flűmlik	flűmlök	flűmlöm	24	5	1.4271163556401458	-lik	1	nonword	NA	NA	0.8064516129032259	1	20
flűröklik	0.42675857441854637	flűröklik	flűröklök	flűröklöm	17	12	0.32542240043462795	-lik	2	nonword	NA	NA	0.5806451612903225	1	20
fretsik	0.43293336588959297	fretszik	fretszek	fretszem	13	13	0	-szik	1	nonword	NA	NA	0.5	1	20
frilegsik	0.4282341522438163	frilegszik	frilegszek	frilegszem	11	15	-0.2876820724517809	-szik	2	nonword	NA	NA	0.4285714285714286	1	20
frislik	0.48405719497040345	friszlik	friszlok	friszlom	15	14	0.06453852113757116	-lik	1	nonword	NA	NA	0.5161290322580645	1	20
frivajlik	0.4936187806185609	frivajlik	frivajlok	frivajlom	21	5	1.2992829841302609	-lik	2	nonword	NA	NA	0.7857142857142857	1	20
frodlik	0.46590095994893815	frodlik	frodlok	frodlom	20	9	0.7419373447293773	-lik	1	nonword	NA	NA	0.6774193548387096	1	20
frágapsik	0.353994585669366	frágapszik	frágapszok	frágapszom	11	16	-0.3483066942682157	-szik	2	nonword	NA	NA	0.4137931034482759	1	20
féjzik	0.49572593778856106	féjzik	féjzek	féjzem	16	10	0.4353180712578455	-zik	1	nonword	NA	NA	0.6071428571428572	1	20
geréṉlik	0.47813723383992984	gerénylik	gerénylek	gerénylem	23	3	1.791759469228055	-lik	2	nonword	NA	NA	0.8571428571428571	1	20
gilárzik	0.4284202551369035	gilárzik	gilárzok	gilárzom	8	21	-0.8938178760220964	-zik	2	nonword	NA	NA	0.2903225806451613	1	20
herégsik	0.48710876623616006	herégszik	herégszek	herégszem	9	18	-0.6418538861723948	-szik	2	nonword	NA	NA	0.3448275862068965	1	20
hilarzik	0.4659479315526248	hilarzik	hilarzok	hilarzom	14	13	0.06899287148695142	-zik	2	nonword	NA	NA	0.5172413793103449	1	20
huklik	0.4277885708940532	huklik	huklok	huklom	13	14	-0.06899287148695143	-lik	1	nonword	NA	NA	0.48275862068965525	1	20
hurjorzik	0.5023283978527766	hurjorzik	hurjorzok	hurjorzom	14	13	0.06899287148695142	-zik	2	nonword	NA	NA	0.5172413793103449	1	20
hurošlik	0.5148440119856551	huroslik	huroslok	huroslom	22	7	1.0560526742493137	-lik	2	nonword	NA	NA	0.7419354838709677	1	20
hűgzik	0.4087819319525997	hűgzik	hűgzök	hűgzöm	13	13	0	-zik	1	nonword	NA	NA	0.5	1	20
ibáglik	0.4051238786340511	ibáglik	ibáglok	ibáglom	18	9	0.6418538861723947	-lik	2	nonword	NA	NA	0.6551724137931034	1	20
ibéksik	0.3352555639182	ibékszik	ibékszek	ibékszem	10	16	-0.4353180712578455	-szik	2	nonword	NA	NA	0.39285714285714285	1	20
joṉlik	0.4824265414816011	jonylik	jonylok	jonylom	21	8	0.8938178760220965	-lik	1	nonword	NA	NA	0.7096774193548386	1	20
